BE_BL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BL_BE,F_source_embedded,,F_target_embedded,
1,-38.90095139,-91.84988403,43.97972488,72.33188629,19.26554298,44.85990524,11.2766695,49.69469833,1,43.95940781,-87.92398834,37.51859283,-80.12130737
2,-38.89623642,-91.8744278,44.17221832,72.45938873,20.37444878,44.04092789,10.37129021,50.47352219,2,44.21660233,-88.37893677,37.71654129,-80.77030182
3,-40.77874374,-86.13262939,40.7672348,66.88200378,47.11788177,-4.858913898,57.56577682,11.94540691,3,37.21828461,-83.28053284,30.64209747,-77.69312286
4,-56.09329605,-70.34231567,38.84568787,53.86019897,-40.55171585,-11.58812046,-29.07957458,-3.506220341,4,21.53476906,-81.63448334,3.804230452,-59.77928925
5,-38.47758865,-92.60137939,44.60349274,72.73163605,17.1689167,46.12754822,10.04332161,50.82788467,5,44.75618362,-88.55888367,37.82244873,-81.85662842
6,-39.94226456,-89.24106598,42.35161972,69.75392151,55.02793884,9.394525528,14.08937073,47.99723434,6,42.03543091,-86.3968811,33.83483887,-77.66057587
7,-38.46556854,-93.15553284,44.98232651,73.2497406,14.3630867,48.10509491,10.29985237,50.17964935,7,45.3674736,-88.66166687,38.93249512,-81.590271
8,-38.64293671,-92.31848145,44.30214691,72.76874542,17.00576973,46.25102234,9.541751862,51.23838806,8,44.61421967,-89.11446381,38.16972351,-80.60424805
9,-41.06775284,-86.23963165,40.4948082,66.91325378,54.63500977,5.695777416,56.05679321,15.57663536,9,37.26478577,-83.19351196,29.21656036,-76.5447464
10,-41.21716309,-86.50436401,40.49652863,67.02537537,54.18556213,5.576184273,56.45179749,13.92510509,10,37.16336441,-82.96224976,28.27814674,-74.91004944
11,-40.85568619,-86.83759308,41.03321838,67.71624756,54.86462021,11.73751354,56.05276871,15.45653915,11,37.97629547,-83.37195587,31.53462601,-77.79346466
12,-40.94488907,-86.6763916,40.77144623,67.34484863,53.23316574,2.362310886,55.86746979,16.2257843,12,37.83756638,-83.3700943,30.16688728,-76.53330231
13,-38.53816986,-93.13445282,44.72470856,73.31623077,12.56190872,49.34397888,9.478266716,50.84713745,13,45.21504593,-88.90766144,39.46960831,-81.57276154
14,-41.1096611,-86.11160278,40.43567657,66.86248016,40.18793488,-2.708155155,56.46497726,14.15696812,14,37.09610748,-83.0517807,27.87924004,-74.909935
15,-39.44324112,-90.56154633,43.41597748,71.52271271,19.48333359,44.76478577,11.14610958,49.87047958,15,43.59091949,-87.96289063,35.77321625,-78.96747589
16,-38.3839035,-93.21366119,44.98491287,73.26806641,14.12860775,48.29987717,9.092946053,51.6427536,16,45.19980621,-89.44418335,38.93953705,-81.32623291
17,-38.69704819,-92.53524017,44.3479805,73.04634094,16.45060921,46.6385498,9.671317101,51.16941833,17,44.52702713,-88.98072052,38.35111618,-81.46393585
18,-40.06583405,-88.92119598,42.24495316,69.57260132,54.76812744,12.6049614,15.16246796,47.30198669,18,41.92346573,-86.27063751,34.0073967,-77.96877289
19,-39.48600769,-90.38684082,43.14950943,71.16264343,19.71403313,44.6297493,13.05774593,48.60116959,19,43.14014053,-87.33892822,35.60340881,-78.87281799
20,-40.71197128,-87.22174835,41.94149017,69.09040833,54.8724556,14.33298206,20.10790825,43.75008774,20,39.3981514,-83.9777832,32.70360947,-77.96352386
21,-39.83221436,-89.52014923,42.46605682,69.92874146,55.04969406,15.90398502,18.28316116,45.11058426,21,41.84221649,-86.14704132,34.57415009,-78.13088989
22,-39.09071732,-91.41277313,43.86626816,72.36954498,20.23417664,44.21975327,9.407052994,51.38136673,22,44.35309601,-89.05469513,37.05797195,-79.74333954
23,-40.82253647,-86.73542023,41.22530365,68.01292419,54.88180542,4.151422024,55.68812561,16.24696159,23,38.16136551,-83.39588928,31.68441963,-77.85509491
24,-38.68666077,-92.51212311,44.32548904,73.02371979,17.34865189,46.02729034,10.71923733,49.97305679,24,44.80315018,-88.26747131,38.18651962,-81.12358856
25,-39.49617767,-90.51647949,43.4108429,71.46032715,18.75498772,45.23287582,11.07777596,49.90099335,25,43.76484299,-88.32431793,35.95262527,-79.25875092
26,-39.8864212,-89.38317871,42.38261032,69.80175018,54.8718605,14.45662212,15.92427826,46.85861969,26,41.94163132,-86.26374054,34.22023392,-77.977211
27,-39.78290176,-89.63712311,42.51731491,70.02934265,55.12198639,9.048986435,13.48372364,48.41379929,27,42.36141205,-86.67770386,33.96894073,-77.72060394
28,-40.87832642,-86.50745392,40.76636887,67.23218536,53.438797,1.928099751,56.35106277,15.30785656,28,37.8278656,-83.43724823,30.38279152,-77.00805664
29,-39.25358963,-90.71910095,43.04172897,71.01887512,19.60007095,44.75476837,11.70943546,49.50259781,29,43.12071609,-87.44772339,35.39132309,-78.5090332
30,-40.76039124,-86.83551025,41.68138885,68.69126892,54.62124634,3.441880941,18.48675919,45.21302414,30,40.83401108,-85.26957703,31.74427986,-78.0158844
31,-38.38743973,-92.8571167,44.72016907,72.84886932,15.42015457,47.37029648,9.932135582,50.79830933,31,44.87819672,-88.57409668,38.69154739,-80.99151611
32,-39.18982315,-91.05615234,43.32869339,71.49152374,19.87405205,44.62753296,12.80694866,48.76257706,32,43.12107086,-87.29712677,35.17898178,-78.18244171
33,-39.36997986,-90.86711121,43.69734573,71.94827271,20.39409256,44.16859436,10.65455055,50.17529297,33,44.16197205,-88.19778442,35.70410919,-78.61100006
34,-38.60353088,-93.05176544,44.88488007,73.07504272,14.48862076,48.01994705,9.733672142,50.63088608,34,45.28460693,-88.93055725,39.25843048,-81.22502136
35,-38.69092941,-92.51372528,44.56612396,72.71160126,16.35898972,46.7069931,10.10477924,50.4929657,35,44.83314133,-88.48323822,38.52585983,-80.9521637
36,-39.58283615,-90.54433441,43.56452179,71.65039825,20.40134048,44.11799622,11.50663471,49.57180786,36,43.95742416,-88.37915802,36.43299866,-79.37567139
37,-39.6699295,-89.90050507,42.66917801,70.26603699,20.04297829,44.39689255,14.19822693,47.8187561,37,42.60637283,-86.97370148,35.69261551,-79.3302536
38,-39.18982315,-91.05615234,43.32869339,71.49152374,19.87405205,44.62753296,12.80694866,48.76257706,38,43.12107086,-87.29712677,35.17895126,-78.18248749
39,-38.69802856,-92.55862427,44.21666336,72.89586639,16.69487953,46.46628952,9.969908714,50.53044128,39,44.87337494,-88.43623352,38.10969162,-80.991745
