DE_DL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,DL_DE,F_source_embedded,,F_target_embedded,
1,-40.37838745,-62.41802597,-21.82930946,66.1222229,-0.46152088,2.43799305,37.81275558,-14.78184032,1,1.344710112,28.61704826,15.4163723,-2.41408658
2,-22.60832977,-51.51753616,-34.77470016,38.69335938,11.93738079,-7.28002882,37.48388672,-15.06500053,2,1.259024858,28.58381271,14.70841312,-2.774282932
3,-8.26461792,-33.7315712,-21.72082329,5.712290764,10.56853294,-6.955411911,37.9608078,-14.86697483,3,1.269159317,28.48152542,14.36596203,-3.0111835
4,-38.61700439,-37.46354294,-46.1942482,63.00217819,11.28366184,-12.73343086,38.88062286,-16.27419472,4,0.530895174,26.94952202,14.22475815,-3.660076141
5,43.70404434,-26.84383392,39.7206459,-23.36104774,15.20911884,-34.0862999,39.0529747,-16.57868958,5,0.517753243,26.82385635,18.21819687,-8.974108696
6,-16.58385277,-83.29273987,33.82303619,13.49261284,15.20909977,-34.08632278,27.85851669,-25.247715,6,0.517747879,26.82417679,26.02072525,10.61891079
7,62.87949753,-62.92734909,41.14174652,68.99261475,4.702436924,-23.07979584,14.95357323,-27.2435379,7,1.393030047,26.11049271,20.88433647,17.34125328
8,-36.37908173,-40.49755096,-18.53519821,80.23686981,16.08302116,-33.17723465,-4.897071362,-29.00144768,8,2.661306381,27.2599926,20.99831009,16.84922981
9,-22.68671417,-53.6728363,-46.03385544,63.10979462,21.82091141,-24.44730186,-4.897071362,-29.00144768,9,1.909353256,25.62059784,20.99829292,16.84927559
10,6.127144337,-64.16410828,-15.66417694,12.82689285,24.19975853,-19.60913277,9.215468407,-24.80765915,10,4.12075901,27.61819458,25.77577972,11.2151947
11,-69.88980103,17.63516426,25.94128227,85.61890411,21.06954384,-12.52928543,14.01856327,-24.87723351,11,3.696161032,29.31241608,25.06838608,10.90269756
12,0.034131482,-29.88820267,-32.79721069,-6.239479542,25.33005524,-10.75131607,13.73825836,-25.8307972,12,4.274073124,26.98637962,23.67476463,12.1371727
13,5.724578857,-69.50151062,-49.24020767,52.24746704,30.83006096,-9.154555321,13.79307175,-25.16559029,13,4.593962193,25.4740696,13.0971241,-14.95484447
14,-49.46711349,-2.836932421,-28.63829613,51.28641129,7.050739765,26.86810303,29.73696136,-19.15882874,14,2.037142754,23.51761436,15.53828239,-3.656317472
15,51.40415955,-54.87619019,-26.55445862,87.63379669,5.859729767,34.64689255,32.3120575,-10.5757618,15,1.781290889,23.78513718,17.65873337,-2.589031219
16,-34.49054337,-20.08919716,-8.095301628,-18.82799149,6.709691048,36.95776367,37.86279297,-13.64805222,16,3.798198462,27.66563606,18.25829124,-1.636397004
17,10.07050037,-19.74962807,-33.61356735,0.114715703,8.779146194,34.53935623,35.79557037,-13.39352512,17,7.994667053,23.19845963,17.26713371,-0.904849231
18,-57.02690506,21.04536819,19.05292511,64.73195648,8.929403305,34.73387527,29.63535881,-11.72253132,18,4.196573257,23.49595451,0.969747126,-4.620884895
19,-48.48610306,-66.54792023,-14.13868713,76.69347382,9.563459396,36.16426849,36.52509308,-15.03529358,19,7.717073917,22.10981178,16.38721085,-1.479709506
20,45.7280159,-9.303912163,75.28103638,3.831926346,9.816905022,36.50415802,36.52482986,-15.03513527,20,7.11310482,22.26363182,16.38721085,-1.479709506
21,25.36263657,-26.62017441,83.3874588,-18.56624985,10.63483906,35.24649048,29.85640144,-14.76968384,21,6.915039539,22.17040634,5.073313713,-11.02683735
22,-53.73300552,-6.953690052,-27.81954384,48.26653671,10.59158993,35.24491882,27.29048538,-17.01829529,22,64.18587494,8.841801643,15.6866045,-11.43468952
23,10.101614,-66.74845886,-4.986757755,-1.407104254,41.2681694,2.183404207,30.1756649,-23.10302925,23,54.09492493,9.7716856,18.72445297,-6.795982361
24,-34.1404953,-75.95137787,-51.42975235,54.76922607,41.31241989,2.155414343,32.46063232,-15.54246998,24,57.88028717,10.53213787,14.43603134,-1.617664099
25,-71.81336212,-8.451375961,45.27097321,35.44829941,69.59077454,-13.01089668,35.10388184,-12.39526367,25,66.63422394,6.819647789,13.92624569,-2.580809116
26,-45.92698669,13.56168652,47.16150665,67.84220886,69.55638885,-13.04922676,32.61824036,-12.52083683,26,67.87682343,7.796702862,14.19626999,-2.243097067
27,-59.20235062,-10.63042545,34.36704636,53.01334763,70.77698517,12.67068481,29.83105469,-15.11408424,27,68.8259964,20.39858246,14.63711643,-1.982902765
28,9.174233437,-60.90536118,-1.881653905,-8.751217842,63.05387497,14.28858662,31.08310127,-16.21612167,28,68.859375,21.10308456,11.17225933,-0.340414017
29,-39.2761879,19.24488258,6.616704941,72.1470871,53.36306763,23.32618141,32.26317978,-16.24849701,29,68.81212616,21.57736015,18.37025261,-3.956693172
30,-31.20134926,-38.89744186,-50.92509842,55.21834946,53.4687767,23.29825592,32.73815536,-14.96458721,30,47.91230392,37.57601929,14.04814816,-1.613909841
31,24.22561646,-50.2594223,2.406563282,-0.691834509,38.75979996,24.23180389,29.72999191,-14.39539051,31,46.82686234,39.89247894,2.275205612,-5.311213493
32,-71.93413544,-26.7698822,34.8020401,74.80098724,39.98756409,23.32677841,29.35638428,-23.70987129,32,44.24223328,41.36554718,16.22595215,-2.034629345
33,-19.55091095,-29.38493538,-4.111800671,38.89261246,55.99042511,23.85093498,30.30797195,-17.41911316,33,47.87391663,38.9586525,13.50074291,-0.305861712
34,1.443624139,-49.9418335,-45.77508545,59.63143158,34.34129333,21.34710693,37.62863922,-15.33024693,34,48.27286911,38.48087692,11.02103424,0.229940817
35,-74.27742767,-16.13311768,-15.49892521,21.18083382,34.83695602,25.58780098,33.22716522,-14.55894566,35,46.6544838,39.82056808,16.1404438,-1.518633962
36,32.28372574,-71.45744324,1.918719292,66.50037384,35.50589752,25.82036209,33.99747849,-11.20090294,36,46.15876389,40.18362808,14.31307602,-0.812819719
37,-35.64615631,-23.89142227,5.324215412,61.61971664,35.50585556,25.82026482,34.29336166,-11.25387001,37,46.15876389,40.18362808,14.20626926,-0.182352841
38,-23.58042145,-53.2792244,-26.75318146,70.20983887,37.25479889,26.98913765,35.34896851,-14.0807476,38,47.72166824,38.78901672,14.12975693,0.255502194
39,9.368782997,-53.00847244,-28.15864563,28.38951302,42.14891434,29.17200661,34.08026123,-13.91097546,39,48.24604416,38.36804199,18.1405468,-12.94241333
40,-11.78099155,-33.45241165,-4.584989071,37.97935104,36.89218521,26.70170021,28.379673,-15.84859467,40,36.8764801,50.54581451,17.9642334,-14.3933239
41,-46.25767517,-40.46977234,-42.54756165,60.63570404,23.53222275,43.29910278,30.50945663,-17.58743477,41,48.49644089,39.27514267,18.12051392,-13.90305614
42,0.570834935,-81.05117798,-7.079716206,-7.965631008,45.24223328,27.50603104,25.53085709,-12.35797977,42,47.50532913,40.20134354,17.57719994,-27.47412109
43,13.44198799,-43.4717598,78.9468689,-22.71427536,56.09412766,23.88862228,26.41190338,-24.57400894,43,55.0886116,43.31164932,12.30894852,-35.20003891
44,-1.584308505,-42.03829193,-23.60574913,32.22836304,33.12731171,21.84149742,20.90069771,-26.89253616,44,41.57627869,35.90513611,14.95771599,-25.68126678
45,63.75108337,-57.43687057,35.05876541,42.71863556,19.32343483,19.85995293,24.99775505,-20.05729866,45,32.90536499,51.1339798,12.90322399,-20.49954224
46,-46.23479462,-64.47429657,25.43359947,15.95039368,19.11134148,19.87575912,27.81633377,-25.30062294,46,35.89348984,50.8228302,14.3301239,-26.70300865
