HI24_HI22,x_source_embedded,,x_target_embedded,,F_source_embedded,,F_target_embedded,,HI22_HI24,F_source_embedded,,F_target_embedded,
1,-64.65159607,-33.67430878,-68.22782898,-31.68851852,7.011034966,-97.98008728,3.05689168,-98.70592499,1,-43.9440918,63.12395859,-46.12405777,60.48175812
2,-62.70876694,-34.80692291,-67.19100189,-30.53792572,6.170651913,-96.7483139,2.988361835,-98.28955841,2,-43.68138504,62.74702454,-45.80236816,60.20052338
3,-28.34419441,-13.68113613,-64.72782135,-30.61856842,14.9093523,-92.28308868,8.913728714,-98.87632751,3,-45.82388306,61.11769104,-48.51817703,52.14617157
4,-65.15890503,-34.30939102,-69.41623688,-32.37402344,6.195236683,-97.92810059,3.010607481,-98.9557724,4,-43.88553238,63.73029327,-46.3503418,60.26136398
5,-67.35845947,-38.72948837,-68.07283783,-32.02753067,5.940573692,-98.52553558,3.979315519,-99.73349762,5,-44.21529007,63.55963135,-46.63869095,61.10742188
6,42.92190933,33.94789124,-5.359709263,7.761722088,19.18339348,-80.73756409,10.05088234,-91.54534149,6,-39.88043976,54.13666916,-39.6157074,53.15593338
7,-55.8203125,-33.1557045,-63.03739548,-32.67269897,18.19589615,-91.49712372,6.158713341,-96.22535706,7,-45.71055984,59.58987045,-50.22489929,47.51473618
8,-65.34025574,-36.61307907,-66.88088226,-32.32336426,13.63733959,-94.5149231,6.526405811,-99.01074219,8,-45.60548019,61.33402634,-48.8462944,51.61465836
9,-55.87725067,-33.42827988,-63.34416962,-33.29077148,14.98765755,-92.1007309,6.800587177,-96.61024475,9,-45.76425934,59.95168304,-49.86018372,48.76316452
10,-65.02643585,-33.49980545,-67.4509964,-31.51566887,6.610936165,-98.73571014,3.680536032,-99.30954742,10,-44.09614182,63.02380753,-45.70471573,61.5905838
11,-54.48752975,-35.55358887,-63.2546463,-34.10322189,18.95693588,-90.28760529,6.575042248,-95.75592804,11,-47.44949341,56.54140854,-51.10301971,44.0630722
12,-28.37473679,-13.70216846,-64.82905579,-30.45808601,13.56426716,-93.49433136,8.439543724,-98.63873291,12,-45.30372238,61.15430832,-48.51841736,53.0089798
13,-69.54788971,-33.14825439,-69.90818787,-32.52788925,3.714653015,-100.4631882,3.449818611,-100.6194077,13,-44.20970535,64.6641922,-44.26765442,64.40791321
