GE_GL,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,GL_GE,F_source_embedded,,F_target_embedded,
1,-2.466822624,-62.03393555,-12.19527149,18.69305992,49.94356918,0.584981441,17.89011955,9.657858849,1,47.98211288,13.4198103,47.48823166,14.21575451
2,-2.191640854,-62.12335587,-12.28874207,18.7090168,16.98910522,9.573832512,16.89663506,9.569761276,2,48.13202667,13.35387611,47.62146759,13.43934727
3,-2.071165562,-62.0735321,-11.88296223,19.64998817,17.59052086,9.572847366,49.29719925,1.028854728,3,50.55737305,14.25745773,48.40532684,13.58316612
4,-2.675443649,-61.89717484,-12.105793,19.02093315,52.17087555,-1.837502003,17.491045,9.534676552,4,49.21796036,13.54035664,46.6337204,16.7386837
5,-2.890892744,-61.98962784,-11.47503662,18.91179085,52.25966644,-2.655037403,51.48759079,0.160960466,5,47.11662674,17.88054085,46.72058487,15.44479084
6,-7.562429905,-53.72321701,-4.541364193,21.36374855,-6.412012577,-18.84775734,-15.91130829,-26.2145443,6,34.51660538,28.47796631,40.33370209,24.43848801
7,-10.36468983,-59.91583633,-2.76131773,22.51764297,-50.14482117,35.6144371,-41.9884758,-10.97205162,7,28.16555786,25.8923378,-6.89575243,39.2817688
8,-10.57704353,-60.03887558,0.251294076,15.80608463,-42.93138885,73.22683716,-55.85899353,43.15962219,8,29.13822174,23.41907883,-7.379667759,39.63548279
9,-12.4390049,-65.84172058,-1.519603968,14.81285095,7.776723385,85.81447601,-40.81372452,74.8200531,9,36.58989716,20.32660866,-10.5320673,41.61605453
10,-12.88381672,-66.80705261,6.286380768,6.620831013,28.33068466,40.40804672,-4.195621014,89.18293762,10,-8.985435486,40.84525299,-12.38917732,41.84257507
11,-13.18982601,-67.35824585,39.78245544,-17.84838486,34.47411346,28.99360847,29.34704208,-10.05932331,11,-76.80821228,-20.94488525,-14.09000683,41.8899498
