GE_BE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,,F_target_embedded,,BE_GE,F_source_embedded,,F_target_embedded,
1,-75.80394745,-0.778646171,-35.23889923,-89.15402985,39.38274384,-6.764083385,-66.48397827,32.69503021,1,-68.69072723,-31.8467598,11.30036163,-49.39709473
2,-72.14659119,-8.356342316,-35.31124878,-89.3854599,39.86073685,-6.848037243,-50.12408447,-11.92534924,2,-72.03820038,-32.98242188,10.13001728,-49.7961998
3,-70.93135834,-8.798333168,-29.64498329,-82.53606415,31.45681953,-13.40517426,-80.3004303,15.64452839,3,-73.49475861,-28.83312988,9.60406971,-49.55104828
4,-80.30239868,-11.21625996,2.540302992,-82.0941925,6.162106991,-14.06589985,25.68742371,19.75145149,4,-81.39565277,-10.01280403,11.42489052,-49.96019363
5,-80.28742981,-11.18496227,-35.48032761,-89.90237427,40.16769028,-6.269342422,2.095560074,13.12195873,5,-76.21343231,-29.56324387,10.02584743,-48.67245483
6,-78.5622406,-15.7643137,-32.96806717,-86.53174591,38.2984314,-8.946341515,-32.99692154,9.191705704,6,-72.40990448,-41.7069664,-21.962883,22.3988533
7,-80.58090973,-3.892840624,-36.02540588,-90.37136841,40.16969299,-5.316299438,-21.21301651,63.44361877,7,-76.20911407,-28.43172455,-21.95824623,25.73265457
8,-80.47888947,-3.709697723,-35.79755783,-89.47203827,40.374897,-6.348182201,-92.2331543,-3.401767492,8,-80.48784637,-9.502729416,1.025752306,-81.13282013
9,-80.68486023,-4.142263412,-29.90823174,-82.14748383,33.30106735,-14.19426727,-26.45300674,-35.57000732,9,-80.37340546,-10.46015453,-24.09886932,22.34829521
10,-77.24365997,0.569196343,-30.0561161,-82.15586853,32.91584015,-14.55464745,-55.77354431,23.14143944,10,-71.22061157,-28.34148598,2.279561043,-81.48442078
11,-76.9853363,0.927101851,-30.48492622,-83.92784882,33.04161453,-13.71835709,-50.99032593,28.87335777,11,-66.97328186,-29.64599228,-22.00833893,26.18265915
12,-77.26639557,0.606644928,-30.19644928,-83.0680542,33.1942749,-13.86587429,4.843034267,13.22836685,12,-73.08209991,-16.12020874,-4.699438572,-77.44259644
