DE_BE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded,BE_DE,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded
1,-29.96860313,-42.74606323,70.6941452,-29.14414597,-42.42042542,-36.09170151,58.66213608,-12.85134315,1,20.92361069,-38.92889786,64.97520447,6.896347046
2,-40.33875275,-42.34309769,70.18248749,-31.50475883,22.17433548,-73.5515976,60.12452316,-2.484078407,2,31.78700638,-33.26231003,62.71083832,9.796650887
3,-38.90274811,-43.12574387,70.05243683,-32.53858185,17.5213604,-77.23231506,61.35569763,-21.05070686,3,31.61651802,-33.80156708,61.84825134,0.069884963
4,-40.99427032,-49.15113449,70.0545578,-32.53856659,23.55432892,-68.48403168,61.33340073,-16.34242439,4,0.486263424,-39.35379791,61.0785408,1.952145815
5,-44.78450775,-54.79574585,71.17468262,-30.61700249,31.63766289,-58.45960617,59.84048843,-20.06798553,5,-5.567744732,-37.01426315,61.36847687,0.571528614
6,-44.78450775,-54.79574585,71.67484283,-30.8612709,31.63763809,-58.4596138,58.52041245,-19.47841263,6,-7.3964324,-32.29771423,64.62496185,2.387276888
7,-44.21096039,-55.48382187,71.27262878,-31.03947639,24.51222038,-61.94063187,61.52787781,-21.31408501,7,-9.009222984,-35.64686584,61.80595398,-0.062904075
8,-45.78330994,-55.05964661,71.13193512,-30.83359528,37.5554657,-45.29841232,56.02220535,8.339742661,8,-8.761593819,-31.08713913,59.50940323,11.98939896
9,-50.39406586,-53.11323929,71.70476532,-31.53601646,41.10302353,-38.35974503,56.02220154,8.339763641,9,-7.360337734,-31.43076134,59.50929642,11.98934555
10,-47.78111267,-41.66763687,71.42384338,-30.6562767,39.93920898,-45.12169647,58.48871994,10.48757935,10,37.50325775,-28.57826614,59.31367111,13.99073982
11,-46.87706375,-39.22636795,74.16297913,-33.30381012,36.13905334,-57.92666626,62.51789474,7.288537502,11,37.06907654,-27.84869957,60.15376663,15.10576057
12,-46.95171356,-37.54485321,72.20875549,-31.95869446,38.462677,-58.7722435,60.53356934,7.609696865,12,36.78704453,-27.76360321,59.52172852,14.68230057
