HI24_MB21,x_source_embedded,,x_target_embedded,,F_source_embedded,,F_target_embedded,,MB21_HI24,F_source_embedded,,F_target_embedded,
1,-67.11602783,-49.51560211,2.486473799,30.5532856,-19.85579109,-68.8702774,18.52873039,2.128176689,1,52.0096283,-56.72855759,-3.745635033,-53.02836609
2,-67.16622925,-49.08793259,22.90400696,-13.94342995,-18.57890511,-68.15390015,3.324930906,-79.01003265,2,-12.12516212,-11.34977436,-15.91887856,40.78699875
3,-22.86533928,-60.85654831,29.06391335,-17.69008827,-21.11952209,-68.00523376,-3.074524641,-85.20193481,3,34.88050842,-5.892909527,-8.677119255,-32.94787216
4,-67.87634277,-49.54433823,25.07452393,-34.50574493,-19.14277077,-69.14711761,-5.044855118,-89.63705444,4,29.91500854,-22.19719124,56.91404343,18.59428406
5,-70.34226227,-48.81491852,12.77082825,-6.269543648,-17.19299889,-69.52684784,-7.63093996,-77.12638092,5,52.48124313,-3.830532789,-6.635473728,-48.36452484
6,-51.11358261,-0.892929435,18.69131279,-14.32906342,14.8670187,-3.268002748,-8.462148666,-81.58430481,6,-27.00096321,60.99214554,18.92596626,71.65853119
7,-64.97805786,-48.56977463,24.81884003,-34.64432907,-18.50953484,-67.28538513,-5.629388809,-87.8839798,7,-43.23762131,-25.83708,14.59973049,56.28422928
8,-68.69828033,-48.9966507,17.27631378,-13.59446907,-18.78423882,-68.97473907,-8.28948307,-77.35316467,8,27.56769753,-79.30987549,31.29172707,62.87664795
9,-65.27007294,-48.40798569,76.5238266,3.042781115,-18.21239471,-67.77523041,-4.313748837,5.484375954,9,20.72903442,12.50548935,-40.58103943,-4.176167011
10,-67.35301971,-49.67765045,19.13256264,-14.63459873,-20.14190102,-68.89562225,-7.804954052,-80.84360504,10,42.25635147,-41.82532501,-7.598742008,-11.16421127
11,-65.64828491,-47.74409485,29.17534828,-18.61891747,-17.29730415,-66.70626831,-3.710212231,-85.1891098,11,-18.58583832,-23.22500992,-15.24926376,-6.688805103
12,-22.90470695,-60.90955734,23.81198311,-36.73749542,-20.89896393,-68.29391479,-7.76544714,-87.55175781,12,50.11816406,4.361760616,10.61755848,57.19068146
13,-69.89260101,-50.30671692,23.65483475,-35.7698555,-20.7107563,-70.44219208,-7.66674614,-89.17381287,13,-37.19239807,-19.75253105,-21.20363617,58.15683746
14,-68.07770538,-48.73625946,17.04694366,-6.786600113,-18.34222412,-68.90126038,-4.406802177,-78.52184296,14,22.04822922,-80.96111298,-13.55360889,-68.46159363
15,-50.10226822,-62.72880554,13.49082947,-5.669735909,-17.0173912,-63.3027916,-7.428774357,-78.146492,15,10.15039825,16.89121437,93.80217743,4.20693922
16,-21.9208107,-60.68828964,-7.849099636,59.01218796,-20.41929436,-67.53949738,-9.774662018,-18.90301704,16,-35.02698135,-28.11150169,1.18554008,-59.2257576
17,-68.55862427,-49.61988449,23.41213417,-19.74054527,-19.76151276,-69.6854248,-5.875527382,-86.75856781,17,50.69311523,-5.669581413,-33.41324997,-21.7826252
18,-70.94707489,-49.05964279,25.1002388,-34.09122086,-16.02508354,-68.76481628,-5.103194237,-86.74501038,18,12.72990227,-86.16446686,87.21542358,4.139984131
19,-22.91569328,-60.14179993,-40.38525391,62.74895477,-21.24071121,-67.03611755,22.46140289,-60.81733322,19,19.74052238,11.39524937,-35.23715591,30.12039757
20,-63.15126419,-49.18091965,19.10553169,-14.59264469,-18.91643524,-67.88539886,-7.708703041,-81.04093933,20,-30.49848557,-19.28630066,-21.60305023,73.64284515
21,-68.58047485,-50.48938751,34.03660202,6.141881943,-21.11833763,-69.77218628,2.01674509,-74.60998535,21,42.60246658,-17.19338608,68.43412781,3.082847118
22,-70.25159454,-48.13756943,75.30583954,-9.45335865,-16.70871925,-69.10506439,5.83476305,3.942073345,22,30.92832375,-72.71001434,-28.2469368,-80.58718109
23,-70.70012665,-49.04914856,13.88532448,-6.216141701,-16.50589371,-68.78666687,-7.472862244,-78.54320526,23,23.44609642,22.87730598,-5.54451561,-51.10597229
24,-65.94343567,-49.18435669,14.98030281,-6.080237389,-19.98273087,-69.16041565,-6.336835861,-78.25361633,24,0.060200311,3.903598547,-8.649477959,55.76539612
25,-63.78033829,-49.53208923,21.57360649,-18.8060112,-20.14631844,-68.30540466,-8.414985657,-82.68843079,25,-44.07542801,-55.09268951,-5.938421726,-22.11785316
26,-70.34384155,-48.87179947,28.89610291,-17.69166183,-17.37774277,-69.52701569,-3.704583168,-85.13279724,26,14.671628,13.26520061,-9.360836983,-63.37521744
