GE_DE,x_source_embedded,x_source_embedded,x_target_embedded,x_target_embedded,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded,DE_GE,F_source_embedded,F_source_embedded,F_target_embedded,F_target_embedded
1,-15.87599182,-0.342936695,7.062431335,65.02458954,-42.37079239,33.25234985,-0.130254522,-27.81675911,1,-54.24404144,47.93930054,-10.10370922,4.745640755
2,-15.76605034,-0.299072117,4.426524162,44.06941986,-42.86174011,33.23590851,-6.005381584,-12.1579361,2,-54.09249115,48.70297623,-12.20734882,-4.67053175
3,-15.5087347,-0.488135368,3.645767927,45.68551254,-43.68372726,34.37953186,-31.73893738,12.39084339,3,-54.03089142,48.65299225,-28.78544235,-17.47148895
4,-15.94805622,-0.442914128,-0.686414421,41.42892075,-41.95344543,33.26200867,-14.41333294,18.12947464,4,-54.40911484,48.13469696,-28.89740562,-22.47300529
5,-16.12351608,-0.357523292,-5.856162071,37.9223938,-41.91946411,33.17672729,-11.51518536,15.78687859,5,-54.03876114,48.02845001,-25.94171143,-23.52949715
6,-14.49558449,-9.338609695,-5.85615778,37.92240143,-19.09992218,10.7019434,-11.14020634,15.43945122,6,-26.74029732,-31.60204506,-25.52027893,-23.32036209
7,-20.49905777,-7.591667652,-6.664402485,38.32321167,-19.46957588,-0.305191308,-11.11248684,15.52451038,7,-30.00619698,-38.0592308,-25.7029171,-22.61856651
8,-20.54603195,-7.659516811,-6.225720882,37.20794678,-19.40084076,-0.341211468,-22.79940414,4.388033867,8,-29.79922485,-38.94666672,-25.70016861,-13.59396076
9,-25.15574455,-37.9079628,-25.06954956,9.588429451,-34.64476013,-33.80815887,-3.90700841,-9.877401352,9,-32.83478165,-42.72160339,-11.29452705,-7.906195164
10,-25.40418243,-38.98181152,4.153090954,36.15956497,-35.84602356,-34.26196289,19.55077934,-16.49006462,10,-34.22200394,-44.26728821,5.840703487,-18.84386635
11,-25.73431396,-39.62535477,5.642492294,36.60680389,-36.55615234,-34.50120926,12.69524097,-20.98483849,11,-34.5177536,-44.78240967,0.960825324,-11.92419624
12,-36.75357819,-36.44638443,7.602536201,36.28476334,-32.92481232,-45.97180557,-4.449486256,-14.97386551,12,-29.04001045,-53.37381744,-9.796128273,-3.816937685
13,-33.33151627,-34.06447601,10.69805527,34.89226532,-31.11893845,-42.26944733,-0.050535142,-21.25485992,13,-29.42485809,-52.35566711,-10.05497456,0.071077406
14,-32.92340851,-34.4587326,15.79176903,39.07196808,-31.63115501,-42.08454514,-23.9914608,-10.03817368,14,-30.56816483,-50.7971077,-27.82263565,-2.60184598
15,-32.76624298,-34.74873352,18.70747185,35.90270996,-32.46844101,-42.24158096,-32.54537964,11.52863884,15,-31.80971146,-48.11348343,-34.40081787,-10.91512489
16,-27.86159325,-41.04112244,17.99388313,34.24936295,-37.751091,-36.92208862,-25.53936768,-10.71019268,16,-35.21468353,-45.76283646,-28.46114922,-1.768182993
17,-29.11314201,-41.18125153,16.98964119,34.53659821,-38.29053497,-38.48981094,-22.75905228,-13.70290756,17,-36.80918503,-46.0826149,-23.92676926,0.787577689
18,-29.09896851,-41.47505569,16.70794678,34.6582756,-38.0353775,-38.34394836,-17.5155201,-22.08941078,18,-33.89086151,-49.38527679,-18.92588997,3.080590963
19,-30.98542213,-42.63316727,16.42864418,34.67389297,-39.07115936,-40.37734985,-14.95898342,-24.01091576,19,-36.81158447,-52.83545685,-16.82600975,9.138848305
20,-36.41114807,-43.86725235,16.29518509,34.77573013,-38.58792877,-45.30767441,-15.28731728,-29.49951553,20,-34.53975677,-55.7975769,-17.64301682,10.4757452
21,-37.0677681,-37.28245926,16.13188744,35.66584396,-33.63640213,-46.40228271,-16.26459503,-33.07461929,21,-29.10946274,-53.50702667,-18.89596939,12.3909483
22,-37.47686768,-36.46231842,16.26191711,35.72604752,-32.52353287,-46.71808243,-14.89715004,-23.31927872,22,-28.70449257,-53.4174118,-14.74471855,3.398931026
23,-37.37198639,-36.17380142,15.7644186,35.64060593,-32.38343048,-46.52318573,-25.14876366,-18.69660187,23,-28.89982414,-53.2457695,-23.13394547,4.460319519
24,-37.02484512,-36.35323334,-36.29425049,3.516581297,-32.70646286,-46.24665451,-24.8507843,-19.19126892,24,-29.03901291,-52.83335114,-22.54779053,4.446805477
25,-37.35549164,-36.40436172,-36.03181458,2.836342573,-32.54278183,-46.64458466,-23.33371735,-14.78167915,25,-28.7821064,-53.25122452,-24.1510601,1.729101777
26,-35.44231415,-37.99917984,-35.86087036,2.589496613,-34.10856247,-44.75851059,-23.00163269,-14.78642941,26,-32.64996719,-51.17621613,-23.92022133,1.586962104
27,-35.04081345,-44.93986511,-21.68640137,-40.80732346,-40.69939423,-44.81871414,-22.70734978,-14.96892548,27,-37.61276245,-52.79462433,-23.64695358,1.560829878
28,-36.38932419,-44.38887405,-23.72187233,-39.42729568,-39.7112999,-45.94612885,-22.48252487,-15.34579945,28,-34.83885193,-55.45313263,-23.31041908,1.657865524
29,-35.20658493,-43.80179214,-28.58927155,-35.92879486,-39.43310547,-44.36348724,-10.87027645,-29.24774551,29,-36.20304108,-54.30376816,-20.31434059,6.500157356
30,-36.54521942,-46.29317474,-28.31832886,-35.99778748,-42.16601944,-46.93720627,-23.86046219,-16.05378532,30,-36.29725647,-59.19766235,-24.04108238,2.512563944
31,-35.9637146,-46.81947327,-32.16321182,-33.85482025,-43.27499008,-46.61180496,-26.41401672,-20.54765129,31,-36.54627228,-60.92300415,-22.41082382,6.292526722
32,-35.61600876,-45.06793976,-32.46723938,-34.1489563,-40.71593094,-45.44939804,-31.71769142,-11.68015671,32,-35.53747177,-55.99000168,-57.98498535,-11.56780052
33,-35.3633194,-44.92780685,-27.05288124,-35.25288773,-40.56539536,-45.11734009,-24.52397728,-16.37683678,33,-36.18321609,-55.41712952,-24.33008385,2.920282125
34,-32.06422806,-44.37083435,-31.3069725,-30.38179016,-40.77343369,-40.84148407,-24.52392578,-16.37680054,34,-37.89186859,-53.92287064,-24.33008385,2.920282125
35,-35.31909943,-44.54664993,-34.4482193,-30.30534744,-40.10266495,-44.83291245,-49.94353485,-15.43952179,35,-36.14025116,-54.58662033,-54.75334167,-2.529864788
36,-35.79470825,-44.47244263,-33.93309402,-30.84388351,-39.85956192,-45.36751938,-52.68683624,-6.238594532,36,-36.62894821,-55.23801041,-59.05287933,-7.308731079
37,-35.47570038,-45.29593277,-33.93319702,-30.84388161,-41.02639008,-45.37457657,-56.43452072,1.696700811,37,-36.68594742,-58.00551224,-62.44836044,-9.289240837
38,-41.99921036,-46.51870728,-34.21401596,-31.24645424,-41.27637482,-52.00323486,-46.28214264,7.583356857,38,-30.98787117,-61.34915543,-39.79111862,-4.341980934
39,-42.15630341,-46.53350067,-32.00215149,-36.7650032,-41.23542404,-52.12672424,-56.77259827,0.698888898,39,-30.98602104,-62.00774002,-61.81982803,-8.950958252
40,-36.90094757,-45.71232224,-34.20343781,-31.49276733,-41.28400803,-47.00455856,-64.24188995,-9.202330589,40,-33.84975052,-58.91916275,-63.95853043,-2.668081999
41,-37.5257988,-36.73335266,-36.89913559,-29.19128227,-32.66929626,-47.37081909,-58.90849686,-1.498526692,41,-28.23183823,-54.27884293,-62.32286453,-6.940685749
42,-34.91749573,-44.24068069,-31.69052315,-36.68595123,-39.80665588,-44.29681396,-57.25708389,0.529075325,42,-36.75854492,-53.41288757,-61.99569321,-8.589196205
43,-28.62488747,-45.18352509,-26.74259186,-35.48804092,-40.28386307,-36.64836502,-56.84854507,-9.005730629,43,-41.77051926,-52.56700897,-59.63302994,-4.836231232
44,-28.59786606,-45.18901443,-32.05419922,-29.34628487,-40.32449341,-36.61728287,-58.28125,-17.40351486,44,-41.96865463,-52.39773178,-57.32111359,-0.43316716
45,-34.24559784,-43.9533577,-41.76874924,-12.71934223,-39.85873032,-43.40845108,-18.14579391,-32.88205719,45,-36.71557999,-55.75540924,-54.91276169,2.814096451
46,-28.62803841,-45.21779251,-41.92947006,-12.47277069,-40.47166824,-36.63371277,-46.4787674,-12.92068577,46,-42.14860916,-52.49835968,-52.03811264,-1.981227994
47,-32.92422485,-48.27361298,-41.92947006,-12.47277069,-45.72009659,-43.57055283,-5.791595936,-28.29062843,47,-40.97045517,-55.17887115,-14.19529915,5.365022659
48,-33.22340393,-48.49461365,-32.22895432,-29.34278488,-45.8598175,-43.94454193,-5.556755066,-31.54643822,48,-41.52238846,-54.91307068,-14.6522398,7.857558727
49,-33.05196762,-48.94275665,-32.76744461,-29.12524605,-46.32004547,-44.01028442,-5.578781605,-28.09259987,49,-41.74520111,-56.47069931,-13.97672749,5.179825306
50,-43.40516281,-48.84251785,-32.69139481,-28.53025055,-43.59799576,-54.85590363,-2.854096651,-27.483675,50,-34.68623734,-66.96595764,-11.9224205,4.90878582
51,-45.07774353,-49.04523087,-43.46367264,-10.2585535,-44.36119461,-56.29756927,-20.48904991,-14.42233944,51,-35.26249695,-70.82469177,-13.2199707,-1.252592683
52,-43.35086823,-48.81314468,-41.89889908,-12.4197464,-43.5114212,-54.92074585,-32.78370285,12.42397594,52,-41.31606674,-64.63732147,-29.23484421,-16.9443264
53,-37.92056274,-53.44255066,-34.31835938,-29.12587929,-48.35695267,-51.4786644,-25.62244225,-10.47297668,53,-43.0839119,-63.82562256,-28.45957565,-1.609440684
54,-38.10958481,-53.43402481,-33.42200089,-30.03074074,-48.41366196,-51.43550491,-6.212573528,-18.09961128,54,-42.12348938,-63.89225006,-12.68384266,-1.530789614
55,-34.56428146,-49.18727493,-34.03902435,-29.69127846,-45.78078461,-45.62997437,-25.24986649,-20.04372025,55,-39.91143417,-58.18497849,-22.02192688,5.451551914
56,-33.93924713,-48.76528931,-28.17176247,-36.47074509,-45.85151291,-44.71893311,-24.01269722,-15.78350639,56,-41.20334244,-55.80161667,-24.13103867,2.466379166
57,-38.57918167,-53.92882919,-22.95420647,-40.47628784,-48.20908737,-52.59621429,-24.01269722,-15.78350639,57,-41.68994904,-64.35948944,-24.13101387,2.466339588
